"산업분류","규모별",2020 1/2,2020 1/2,2020 1/2,2020 1/2,2020 1/2,2020 1/2,2020 2/2,2020 2/2,2020 2/2,2020 2/2,2020 2/2,2020 2/2,2021 1/2,2021 1/2,2021 1/2,2021 1/2,2021 1/2,2021 1/2
"산업분류","규모별",상용총근로시간 (시간),상용소정실근로시간 (시간),상용초과근로시간 (시간),상용정액급여 (원),상용초과급여 (원),상용특별급여 (원),상용총근로시간 (시간),상용소정실근로시간 (시간),상용초과근로시간 (시간),상용정액급여 (원),상용초과급여 (원),상용특별급여 (원),상용총근로시간 (시간),상용소정실근로시간 (시간),상용초과근로시간 (시간),상용정액급여 (원),상용초과급여 (원),상용특별급여 (원)
"수도업","5~9인",174.2,165.0,9.2,3122807,518087,476289,178.8,165.6,13.2,3068943,689978,1057623,175.1,162.8,12.3,2960856,663192,519323
"수도업","10~29인",159.2,154.1,5.2,4200559,245197,862301,162.5,156.6,5.9,4158459,279762,1467539,159.8,154.2,5.6,4318037,291081,911422
"수도업","30~99인",157.5,153.7,3.8,4276832,196206,1058727,158.8,154.3,4.5,4265319,215771,1783865,156.7,152.7,4.1,4395077,196742,1070267
"수도업","100~299인",150.8,148.6,2.2,4702209,59803,931277,145.9,143.8,2.1,4661671,59070,1090642,148.7,146.5,2.2,4830822,68288,940431
"수도업","300인이상",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"하수, 폐수 및 분뇨 처리업","5~9인",166.3,162.7,3.6,2837048,91837,196690,167.5,164.4,3.0,2974451,85804,367954,164.6,161.4,3.3,2895847,97252,296621
"하수, 폐수 및 분뇨 처리업","10~29인",173.4,162.2,11.2,3207354,335722,288583,176.4,165.7,10.7,3275781,326211,403799,172.2,162.2,9.9,3254868,305610,326646
"하수, 폐수 및 분뇨 처리업","30~99인",172.4,158.1,14.3,3698839,298460,398260,175.6,161.4,14.3,3700010,325040,685125,172.9,159.2,13.7,3725897,319831,413477
"하수, 폐수 및 분뇨 처리업","100~299인",171.0,158.7,12.3,3141988,455351,347955,171.9,159.7,12.2,3192984,485411,553459,169.9,158.5,11.4,3232719,519087,364431
"하수, 폐수 및 분뇨 처리업","300인이상",,,,,,,,,,,,,,,,,,
"폐기물 수집, 운반, 처리 및 원료 재생업","5~9인",173.8,168.2,5.6,2826911,82319,72738,173.9,170.4,3.5,2913107,64708,142127,172.0,167.5,4.5,2918710,69003,60870
"폐기물 수집, 운반, 처리 및 원료 재생업","10~29인",181.8,172.5,9.4,3373621,305013,164611,183.4,174.8,8.6,3510246,284603,270545,179.6,170.7,9.0,3620313,270040,154404
"폐기물 수집, 운반, 처리 및 원료 재생업","30~99인",189.3,168.5,20.8,3084576,588066,272026,195.5,173.7,21.8,3197989,654842,492892,190.7,169.1,21.6,3277459,645717,313307
"폐기물 수집, 운반, 처리 및 원료 재생업","100~299인",197.3,166.4,30.8,3102984,760122,458691,197.8,168.8,29.0,3243247,702542,597590,195.2,167.3,27.8,3234453,727605,644036
"폐기물 수집, 운반, 처리 및 원료 재생업","300인이상",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"환경 정화 및 복원업","5~9인",169.2,160.9,8.3,3102773,139059,283196,171.6,163.9,7.7,2977965,79008,508758,168.8,163.6,5.2,3193713,99623,274201
"환경 정화 및 복원업","10~29인",167.4,157.0,10.5,3272453,240196,646345,161.1,156.1,5.0,3492064,132980,1054435,163.5,157.8,5.8,3611207,161576,663867
"환경 정화 및 복원업","30~99인",174.4,162.4,12.0,3914118,318406,510303,176.1,165.3,10.8,4023573,240962,931815,165.7,162.1,3.7,4121610,263025,552760
"환경 정화 및 복원업","100~299인",,,,,,,,,,,,,,,,,,
"환경 정화 및 복원업","300인이상",,,,,,,,,,,,,,,,,,
"종합 건설업","5~9인",165.4,163.6,1.8,2786508,51747,41793,170.1,167.7,2.4,2795696,62439,67322,164.6,162.7,1.9,2832446,54264,59881
"종합 건설업","10~29인",166.3,163.3,3.0,3244462,109419,166620,169.7,166.1,3.6,3388638,112753,177161,166.7,164.3,2.5,3528424,77012,168993
"종합 건설업","30~99인",171.7,162.4,9.3,4068062,253770,189706,174.6,165.5,9.1,4050133,239242,320163,171.1,161.3,9.9,4109466,249554,228788
"종합 건설업","100~299인",175.9,158.4,17.5,4158602,458364,616129,177.0,159.8,17.2,4253293,515336,596215,173.3,157.4,15.9,4334065,525242,734289
"종합 건설업","300인이상",172.3,155.2,17.2,5175826,574105,821312,173.3,157.2,16.1,5189762,561823,728818,171.0,155.2,15.8,5344767,567127,847300
"전문직별 공사업","5~9인",164.5,163.4,1.0,2907644,19946,89395,165.7,164.8,0.9,2952788,17324,164761,162.4,161.6,0.8,3046227,15261,126755
"전문직별 공사업","10~29인",166.8,164.1,2.6,3543224,94582,135181,168.9,166.6,2.2,3631541,91625,158488,167.0,164.8,2.2,3790208,94710,125457
"전문직별 공사업","30~99인",176.2,162.7,13.5,3630717,283216,299054,179.0,165.3,13.7,3664516,303565,456698,177.1,163.4,13.7,3772720,308764,289663
"전문직별 공사업","100~299인",174.4,161.1,13.4,3603738,359215,313867,175.8,161.3,14.5,3693074,401617,342189,174.1,159.7,14.4,3772057,417907,457554
"전문직별 공사업","300인이상",170.3,157.3,13.0,4689254,462813,829686,179.0,162.3,16.6,4655975,551232,691033,175.9,159.7,16.1,4685619,556328,1475271
"자동차 및 부품 판매업","5~9인",169.9,165.2,4.6,3388623,89668,286374,167.9,165.2,2.6,3555407,54364,576489,169.4,165.9,3.4,3549857,66268,297310
"자동차 및 부품 판매업","10~29인",165.4,160.3,5.0,4038558,104795,1075856,165.4,160.4,5.0,4642637,106417,1580749,165.7,160.7,5.0,4240806,100455,1129793
"자동차 및 부품 판매업","30~99인",160.7,158.3,2.4,4201533,53752,840978,162.9,159.8,3.2,4314645,68060,762643,162.4,158.9,3.5,4402790,81521,940225
"자동차 및 부품 판매업","100~299인",164.4,155.8,8.6,4935493,267234,1333756,166.0,157.9,8.1,4946676,251571,775848,161.5,156.9,4.6,4978343,183782,1494818
"자동차 및 부품 판매업","300인이상",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"도매 및 상품 중개업","5~9인",164.4,162.0,2.3,3376844,52603,260677,166.7,164.4,2.3,3429945,58951,428313,163.8,161.6,2.3,3524171,54191,287707
"도매 및 상품 중개업","10~29인",168.3,162.6,5.7,3821367,124364,304464,170.3,164.1,6.2,3801866,128073,358692,169.0,162.7,6.2,3847844,123539,310543
"도매 및 상품 중개업","30~99인",169.6,159.5,10.1,4170133,194921,624207,168.6,159.5,9.0,4232523,178466,535494,167.4,158.9,8.5,4387410,177550,777117
"도매 및 상품 중개업","100~299인",170.9,156.7,14.2,4244456,263937,640276,172.1,157.2,15.0,4252664,273928,694354,171.8,157.9,13.9,4409256,255950,662976
"도매 및 상품 중개업","300인이상",163.7,156.2,7.5,4762788,234591,1363157,164.4,157.2,7.2,4801753,233965,873483,163.4,155.5,7.9,4895447,273864,1388745
"소매업; 자동차 제외","5~9인",174.6,166.1,8.5,2595339,161274,222672,177.6,168.4,9.2,2630150,176571,246075,174.7,165.6,9.1,2721026,164168,240533
"소매업; 자동차 제외","10~29인",174.5,163.0,11.4,2576679,193380,278071,178.2,165.1,13.1,2585105,219149,383402,175.3,161.7,13.5,2623885,225724,358322
"소매업; 자동차 제외","30~99인",165.8,157.3,8.5,2734336,161285,440887,168.7,159.5,9.1,2739811,165427,330628,167.1,157.9,9.1,2783547,183389,433306
"소매업; 자동차 제외","100~299인",151.1,145.9,5.2,2484485,137810,482640,149.7,144.2,5.5,2498508,135329,463607,149.8,143.9,5.9,2571425,149781,479335
"소매업; 자동차 제외","300인이상",162.5,151.8,10.7,3907250,305839,710178,160.8,152.1,8.7,4126410,244901,556440,158.2,149.8,8.4,4311385,265346,930142
"육상 운송 및 파이프라인 운송업","5~9인",167.9,159.6,8.3,2997439,260136,226311,168.0,159.0,9.0,3155579,296224,624419,163.6,157.1,6.6,3160079,268997,221679
"육상 운송 및 파이프라인 운송업","10~29인",162.9,153.5,9.4,2736823,216207,227698,166.3,156.7,9.6,2834709,230547,280934,163.1,154.0,9.1,2872807,202312,288563
"육상 운송 및 파이프라인 운송업","30~99인",139.4,127.3,12.1,1907734,268930,175576,144.3,131.5,12.7,1942058,287243,253622,142.8,129.4,13.4,1955260,306367,194940
"육상 운송 및 파이프라인 운송업","100~299인",160.8,150.8,10.0,2108820,386509,346742,165.5,155.1,10.4,2210006,385540,402093,165.6,154.6,11.0,2291768,403319,423419
"육상 운송 및 파이프라인 운송업","300인이상",176.3,156.6,19.7,2860374,625284,515916,177.4,158.3,19.2,2940461,624396,574260,178.5,159.6,18.9,3027057,627826,714404
"수상 운송업","5~9인",150.0,147.9,2.2,3725803,48026,150506,159.2,157.2,2.0,3814933,39189,172313,157.3,155.6,1.7,4001102,27826,126723
"수상 운송업","10~29인",172.2,167.3,4.8,3677517,209539,142197,174.1,168.4,5.7,3755453,232181,164414,169.5,164.0,5.5,3906863,208993,129054
"수상 운송업","30~99인",173.5,167.8,5.7,4045152,238646,284696,176.5,170.3,6.2,4012185,241358,359087,174.6,166.3,8.2,4018253,288164,350898
"수상 운송업","100~299인",170.6,167.4,3.2,4690335,38797,257481,171.5,169.1,2.4,4836652,38652,280106,167.9,165.5,2.4,5074530,44732,85341
"수상 운송업","300인이상",174.1,160.3,13.8,5239790,416471,,175.2,162.0,13.2,5286605,394326,998625,173.4,160.9,12.5,5607658,389398,
"항공 운송업","5~9인",137.7,134.7,2.9,3495480,96749,377631,148.4,145.7,2.8,3555844,140065,70622,149.3,146.7,2.5,3434549,124442,5474
"항공 운송업","10~29인",131.5,125.5,6.0,3300056,145452,1080402,112.4,108.1,4.2,3092669,124744,1015419,126.3,120.0,6.3,3227713,159395,1004769
"항공 운송업","30~99인",144.5,134.3,10.1,3449192,191301,1320091,147.5,138.5,9.0,3272323,195319,991647,141.7,132.5,9.1,3223990,212970,1111026
"항공 운송업","100~299인",138.3,132.9,5.4,2847517,171579,1495037,122.3,120.1,2.2,2567668,87114,1284051,118.8,115.8,3.0,2665224,100425,1560768
"항공 운송업","300인이상",107.7,104.0,3.7,3847888,176500,1448666,69.6,67.3,2.3,2736512,97968,1277168,75.1,72.4,2.7,2818208,117265,1269619
"창고 및 운송관련 서비스업","5~9인",166.2,165.6,0.5,3484508,10446,77672,170.9,169.1,1.8,3543509,35870,451830,168.6,168.0,0.7,3509080,13047,75231
"창고 및 운송관련 서비스업","10~29인",167.9,159.1,8.8,3232716,196621,168580,170.7,162.2,8.5,3289432,204625,353273,167.1,158.4,8.6,3393298,204231,262361
"창고 및 운송관련 서비스업","30~99인",164.6,155.6,9.0,3536060,252591,508085,167.4,158.2,9.2,3500478,259310,770330,167.7,157.3,10.4,3659571,297162,685461
"창고 및 운송관련 서비스업","100~299인",161.5,151.8,9.7,3552614,247263,641604,162.6,152.9,9.7,3638886,252055,1387011,160.5,152.6,7.9,3714919,229742,888919
"창고 및 운송관련 서비스업","300인이상",162.9,151.8,11.1,3872452,281750,539281,161.8,150.7,11.1,3925567,285337,1200907,159.9,148.1,11.8,4005554,307100,802602
"숙박업","5~9인",191.4,189.3,2.1,2210384,44114,16779,185.8,185.3,0.5,2191736,21539,11314,178.6,178.1,0.5,2262780,22877,16649
"숙박업","10~29인",143.1,138.5,4.7,2149706,100984,112546,162.7,157.7,5.0,2165005,148111,93498,151.0,147.3,3.7,2281350,137689,127607
"숙박업","30~99인",142.8,135.6,7.2,2260502,183005,122125,145.6,138.7,7.0,2206708,180036,113117,144.5,137.5,7.1,2272668,193118,105014
"숙박업","100~299인",136.0,131.0,5.0,2536083,133568,276966,157.7,151.9,5.8,2662950,139014,293535,154.6,146.9,7.7,2705044,158688,304255
"숙박업","300인이상",136.3,129.4,6.9,2582648,151700,937855,146.6,141.0,5.6,2649831,127337,683474,152.9,146.1,6.8,2771307,150991,688145
"음식점 및 주점업","5~9인",184.6,178.2,6.4,2198185,105031,58037,185.0,178.8,6.2,2218507,97744,54122,181.6,176.0,5.6,2282458,95958,67121
"음식점 및 주점업","10~29인",184.9,169.7,15.1,2265501,249154,63290,190.3,176.7,13.6,2315580,227214,79591,186.2,174.1,12.1,2369832,204787,72644
"음식점 및 주점업","30~99인",176.7,160.7,16.0,2422634,271360,117143,182.4,166.0,16.5,2498600,290770,93145,174.4,160.7,13.8,2563510,269841,122632
"음식점 및 주점업","100~299인",120.4,118.5,1.9,1889665,40547,,134.5,134.5,0.0,1963362,4503,,160.2,159.1,1.1,2278065,17458,
"음식점 및 주점업","300인이상",166.0,133.7,32.3,1702100,468095,499632,166.9,132.4,34.5,1668216,509504,793351,168.0,138.3,29.7,1729589,464187,501974
"출판업","5~9인",154.7,154.7,,3518478,,130668,157.1,157.1,,3463138,,264751,155.6,155.6,,3683661,,104591
"출판업","10~29인",166.6,158.7,7.9,3663019,200052,307821,170.9,162.5,8.3,3669322,185002,352958,168.7,160.2,8.5,3722888,206251,250027
"출판업","30~99인",165.5,160.0,5.5,3980826,131286,175922,166.6,161.0,5.6,3995582,128478,157182,164.8,159.2,5.6,4100764,131646,132773
"출판업","100~299인",173.3,157.5,15.9,3941630,342395,551996,173.8,159.0,14.9,3927702,361591,342716,171.6,156.8,14.8,4024553,416024,611655
"출판업","300인이상",167.7,154.8,13.0,4477134,352681,1155988,168.8,155.1,13.6,4510512,393437,677118,166.9,153.3,13.6,4749371,414174,1413100
"영상ㆍ오디오 기록물 제작 및 배급업","5~9인",153.4,152.0,1.4,3030101,23591,59773,155.0,153.4,1.6,2991580,22773,263398,153.6,152.3,1.3,3098545,19697,82277
"영상ㆍ오디오 기록물 제작 및 배급업","10~29인",151.1,147.7,3.4,3241590,78868,202248,155.2,151.3,3.9,3259904,82334,134399,158.4,153.5,4.9,3489982,99561,175676
"영상ㆍ오디오 기록물 제작 및 배급업","30~99인",156.9,148.7,8.2,3684144,196634,282181,162.1,152.7,9.4,3765790,218923,133521,163.8,155.1,8.7,3882382,241039,255502
"영상ㆍ오디오 기록물 제작 및 배급업","100~299인",169.7,152.3,17.5,3487000,286347,290369,174.6,156.5,18.1,3537815,298851,170967,176.3,158.2,18.2,3570398,309345,260300
"영상ㆍ오디오 기록물 제작 및 배급업","300인이상",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"방송업","5~9인",161.2,158.8,2.4,3824371,30146,674950,166.2,159.9,6.4,3677640,89419,719505,164.3,159.3,5.0,4010201,83825,383638
"방송업","10~29인",169.3,158.8,10.4,3422132,166951,399557,168.8,158.9,9.9,3434099,165132,484686,162.7,154.8,7.9,3438306,111941,488011
"방송업","30~99인",163.7,156.6,7.1,4033203,161270,663474,164.5,157.1,7.4,4009005,183427,691799,162.8,156.9,5.8,4067960,126728,614399
"방송업","100~299인",164.9,158.7,6.2,4837739,94397,863621,166.4,159.9,6.5,4680210,105306,710411,165.3,159.3,6.0,4984382,99631,926816
"방송업","300인이상",169.1,158.7,10.4,5317529,320373,1339967,169.9,160.2,9.7,5430245,331020,1121206,167.6,158.2,9.4,5585478,316587,1480687
"우편 및 통신업","5~9인",165.8,156.1,9.7,3332569,247175,932832,162.5,153.5,9.0,3500109,250535,1025458,164.3,154.7,9.7,3726078,276881,1274789
"우편 및 통신업","10~29인",174.5,157.2,17.3,3824198,447396,1179569,171.7,153.2,18.5,3838608,483598,1291347,173.1,156.1,16.9,3833776,455100,1251335
"우편 및 통신업","30~99인",177.1,156.5,20.6,4287932,574586,1118823,171.6,151.6,20.0,4310080,590414,1415609,173.4,154.9,18.5,4535112,540849,1365814
"우편 및 통신업","100~299인",166.2,152.6,13.6,5114428,413018,1426626,163.8,150.8,12.9,5042439,428794,1076160,165.2,152.4,12.8,5180569,437736,1826335
"우편 및 통신업","300인이상",162.9,156.9,6.1,6276517,255955,1774057,162.1,155.4,6.6,6080672,291822,797295,162.3,155.2,7.1,6405549,312829,2609411
"컴퓨터 프로그래밍, 시스템 통합 및 관리업","5~9인",163.1,162.7,0.4,3837630,5774,245876,167.2,166.8,0.4,3845213,6657,556073,164.1,163.7,0.4,4025607,6063,204675
"컴퓨터 프로그래밍, 시스템 통합 및 관리업","10~29인",166.1,161.6,4.6,4039119,109570,249305,168.1,163.3,4.8,4082893,109506,196727,164.0,159.8,4.3,4106001,104942,165656
"컴퓨터 프로그래밍, 시스템 통합 및 관리업","30~99인",162.8,159.9,3.0,3854361,60066,264354,164.8,161.7,3.1,3884610,59399,364942,162.2,159.4,2.7,3942076,78535,307429
"컴퓨터 프로그래밍, 시스템 통합 및 관리업","100~299인",162.8,156.8,6.0,3916437,194051,334714,166.4,159.4,7.0,3959327,187860,150766,164.3,157.3,7.0,3987952,201343,472942
"컴퓨터 프로그래밍, 시스템 통합 및 관리업","300인이상",165.0,156.6,8.4,4819741,235093,1439888,167.2,158.4,8.8,4748601,245557,821200,165.6,157.4,8.2,5026490,247130,1543649
"정보서비스업","5~9인",159.7,158.8,0.9,3115857,18396,172021,161.9,160.8,1.1,3213527,22644,352243,160.8,160.0,0.8,3302811,25993,170437
"정보서비스업","10~29인",164.6,159.7,4.9,3765145,112564,155924,165.1,161.5,3.5,3807470,90393,299742,166.2,161.7,4.6,3814983,114078,218283
"정보서비스업","30~99인",162.7,158.6,4.2,3639478,78483,224075,166.5,161.5,4.9,3696955,97813,208440,164.7,159.5,5.2,3791708,87416,215520
"정보서비스업","100~299인",163.2,157.4,5.8,3779136,192002,402388,164.8,158.5,6.3,3811647,181393,778139,164.5,157.1,7.4,3923856,198129,415354
"정보서비스업","300인이상",156.5,150.8,5.7,5037826,206607,1218646,160.5,153.5,7.0,5011378,261548,543989,158.4,151.4,7.0,5340018,269688,2019239
"금융업","5~9인",161.6,160.3,1.3,4131680,34050,1623914,164.6,163.4,1.2,4443737,33439,1701016,163.3,162.0,1.3,4514618,37294,2107319
"금융업","10~29인",163.3,159.2,4.1,4648293,133014,2502765,163.9,159.5,4.4,4917273,150871,2436390,162.5,158.3,4.2,4889419,136408,2538599
"금융업","30~99인",165.6,159.6,6.0,4228105,182835,1538956,166.9,161.0,5.9,4461296,181299,2119333,165.8,159.6,6.1,4325980,174132,1629551
"금융업","100~299인",160.3,155.6,4.7,5380647,164124,2615125,160.2,156.7,3.5,5418214,115366,1025267,157.5,153.9,3.6,5376662,124891,2826127
"금융업","300인이상",158.9,152.1,6.8,5253194,152077,2590320,158.7,151.8,6.9,5291500,170768,2009132,160.0,153.1,6.9,5373816,161004,2770151
"보험 및 연금업","5~9인",162.8,158.8,3.9,4768572,132296,2233543,162.6,158.7,3.9,4860261,122143,2160002,161.5,158.0,3.5,5156323,109903,2611244
"보험 및 연금업","10~29인",160.3,156.5,3.8,4117406,84832,1439250,160.6,156.5,4.2,4198756,93585,1465548,159.7,156.6,3.2,4260172,72252,1726029
"보험 및 연금업","30~99인",158.0,150.6,7.4,3903535,247324,553216,158.6,150.8,7.8,3962442,253812,1157480,158.9,151.4,7.4,4096230,249372,586310
"보험 및 연금업","100~299인",158.2,148.8,9.4,3828231,112655,1134828,161.9,153.5,8.4,3920154,133047,915437,161.7,152.5,9.2,4002922,197627,1426583
"보험 및 연금업","300인이상",163.1,157.1,6.0,5179848,144828,1601354,165.0,158.8,6.2,5108242,149723,1514932,163.4,157.2,6.2,5345049,157703,2083550
"금융 및 보험관련 서비스업","5~9인",165.5,160.7,4.9,4556844,101783,1472983,166.9,162.9,4.0,4494821,73904,1434802,164.1,160.5,3.6,4348000,67898,2048239
"금융 및 보험관련 서비스업","10~29인",163.2,160.4,2.8,4769865,66748,1955715,166.4,163.3,3.1,4820101,72727,2136777,163.4,160.4,3.0,5070095,75129,3412569
"금융 및 보험관련 서비스업","30~99인",165.4,158.4,7.0,5088120,125402,1028991,169.3,160.8,8.5,5026645,158187,1445304,167.1,159.0,8.1,5118740,131130,2215565
"금융 및 보험관련 서비스업","100~299인",155.1,150.3,4.8,4895380,136416,1920456,155.9,151.0,4.9,4974798,149400,1933891,158.9,153.6,5.3,5101685,163683,2231436
"금융 및 보험관련 서비스업","300인이상",160.4,155.8,4.6,5260737,171581,4185264,163.0,157.9,5.2,5281920,191461,1803981,161.6,156.5,5.2,5460612,185375,4838196
"부동산업","5~9인",179.5,179.1,0.5,2639130,61893,98689,184.5,183.9,0.6,2717529,68283,173448,180.0,179.3,0.7,2790923,72186,103886
"부동산업","10~29인",180.8,180.1,0.7,2705039,75654,179787,183.0,182.3,0.7,2721095,80146,100917,179.6,178.9,0.8,2788620,68357,190666
"부동산업","30~99인",180.7,176.9,3.8,3014969,121635,286726,179.4,175.8,3.6,3028662,119176,280687,177.3,173.0,4.2,3125245,136650,516560
"부동산업","100~299인",164.1,161.0,3.1,3303936,81936,921854,166.7,163.5,3.3,3329016,87703,1496602,163.6,160.5,3.1,3354742,92860,1261824
"부동산업","300인이상",158.6,156.3,2.3,3310719,85658,519525,162.5,159.9,2.7,3291134,97782,669330,160.4,158.3,2.1,3222208,74723,466134
"연구개발업","5~9인",162.3,160.2,2.1,3697307,55102,362820,162.7,160.6,2.0,3813743,54756,371630,159.3,157.0,2.3,3748366,60808,323367
"연구개발업","10~29인",164.6,158.6,6.0,3578630,121630,111051,167.2,161.9,5.4,3646905,112252,306278,165.5,159.8,5.7,3732758,114700,165939
"연구개발업","30~99인",163.2,154.6,8.6,4149955,236345,729361,165.1,156.6,8.5,4187428,245699,717090,165.7,156.1,9.6,4291712,270961,743288
"연구개발업","100~299인",160.6,156.3,4.3,4750013,131389,780907,161.0,157.1,3.9,4790950,118962,723815,159.0,155.0,4.0,4949367,128507,805040
"연구개발업","300인이상",157.4,152.9,4.5,4790143,122504,1265356,156.9,152.7,4.2,4833471,121932,1703382,157.6,153.5,4.0,4964479,115536,1261446
"전문 서비스업","5~9인",160.5,159.3,1.2,2924372,21358,271358,162.0,161.0,1.0,3005633,17122,232914,160.6,159.0,1.5,3058497,23499,367278
"전문 서비스업","10~29인",163.1,160.2,3.0,4030118,72638,393896,165.8,161.8,3.9,4149766,90106,412364,163.6,159.1,4.5,4182422,110065,422882
"전문 서비스업","30~99인",164.6,159.6,5.0,4800454,125683,625412,165.5,161.0,4.5,4806487,127066,582068,164.4,159.6,4.7,4955783,130409,652803
"전문 서비스업","100~299인",166.3,159.2,7.1,5768706,182150,886474,168.9,160.8,8.1,5767278,201938,1527224,165.8,157.6,8.2,5862887,216938,1023747
"전문 서비스업","300인이상",162.0,155.5,6.5,6083173,127659,1222677,162.6,155.8,6.8,6148107,130465,1672860,162.3,155.3,7.0,6069874,132463,1275873
"건축 기술, 엔지니어링 및 기타 과학기술 서비스업","5~9인",161.8,161.1,0.7,3396850,33488,77310,164.5,163.4,1.1,3442091,72474,284083,158.3,157.6,0.7,3537815,40618,124612
"건축 기술, 엔지니어링 및 기타 과학기술 서비스업","10~29인",163.6,158.9,4.7,3699532,91699,393367,164.3,160.0,4.3,3689217,82750,611667,161.2,157.7,3.5,3717009,65151,409101
"건축 기술, 엔지니어링 및 기타 과학기술 서비스업","30~99인",165.8,160.5,5.3,3888619,120637,423015,166.7,161.4,5.3,3909523,118918,596184,165.0,159.6,5.4,3928618,119444,673723
"건축 기술, 엔지니어링 및 기타 과학기술 서비스업","100~299인",169.7,156.8,12.9,3861668,266646,297990,172.0,159.1,12.9,3963533,275368,364205,170.1,157.0,13.1,4035822,281712,343855
"건축 기술, 엔지니어링 및 기타 과학기술 서비스업","300인이상",167.6,156.3,11.4,4331236,411693,559180,170.5,159.1,11.4,4315433,430517,540947,168.5,157.8,10.7,4435773,433595,596111
"기타 전문, 과학 및 기술 서비스업","5~9인",157.9,156.5,1.4,3023900,47836,172705,163.5,162.9,0.6,2952227,36068,237815,163.2,161.8,1.4,3048047,51101,195788
"기타 전문, 과학 및 기술 서비스업","10~29인",165.5,161.8,3.7,3587423,63773,66940,168.1,164.7,3.5,3680834,59428,202987,162.0,158.5,3.5,3744889,63424,152146
"기타 전문, 과학 및 기술 서비스업","30~99인",165.4,160.9,4.5,3329454,152316,162288,166.5,163.1,3.4,3322618,148188,218497,164.9,161.4,3.5,3322942,165282,173012
"기타 전문, 과학 및 기술 서비스업","100~299인",171.2,154.1,17.1,3636440,257113,208968,175.9,159.3,16.6,3693409,272576,780340,172.6,156.7,15.8,3741079,256058,235054
"기타 전문, 과학 및 기술 서비스업","300인이상",149.4,149.4,,4127947,,404820,156.8,156.8,,4105835,,326647,156.7,156.7,,4211213,,784720
"사업시설 관리 및 조경 서비스업","5~9인",167.9,166.3,1.6,2565551,81522,127789,170.7,169.4,1.3,2531154,125891,184721,172.5,168.5,4.0,2704234,123616,110980
"사업시설 관리 및 조경 서비스업","10~29인",150.2,147.7,2.5,2176471,66188,175709,154.2,151.8,2.4,2239179,59433,248811,149.4,147.1,2.3,2333141,56361,127593
"사업시설 관리 및 조경 서비스업","30~99인",176.2,161.3,14.9,2395002,300855,148218,178.5,160.4,18.1,2420737,360044,285593,180.7,162.9,17.9,2514959,361173,224217
"사업시설 관리 및 조경 서비스업","100~299인",163.1,157.2,5.9,2061533,162190,48586,164.1,158.8,5.2,2094799,155025,64106,161.9,156.7,5.2,2145094,151656,71724
"사업시설 관리 및 조경 서비스업","300인이상",163.6,159.2,4.3,1999735,150722,89598,165.9,161.8,4.0,2033922,142628,107852,163.1,159.1,3.9,2038851,149660,111073
"사업 지원 서비스업","5~9인",152.0,148.1,3.9,2551526,72709,322266,151.0,145.4,5.6,2499546,87677,338842,147.9,143.8,4.1,2531279,94674,270701
"사업 지원 서비스업","10~29인",156.5,150.3,6.1,2304017,123885,115640,159.3,151.4,7.9,2382930,148330,173954,157.4,148.6,8.8,2393427,184223,123506
"사업 지원 서비스업","30~99인",168.7,158.5,10.2,2358593,208696,202367,169.3,157.9,11.4,2338423,225295,254661,168.1,157.4,10.8,2400869,235100,223828
"사업 지원 서비스업","100~299인",167.3,161.0,6.3,2005646,150719,163669,171.6,165.3,6.3,2035897,156394,157179,169.2,162.9,6.3,2074949,154757,197368
"사업 지원 서비스업","300인이상",170.9,165.6,5.2,2036261,144923,113187,174.8,169.8,5.0,2049368,141817,121389,171.7,166.9,4.8,2079944,144177,128129
"임대업; 부동산 제외","5~9인",161.2,160.5,0.8,3118752,15779,108378,163.1,161.6,1.5,3145603,19530,138503,157.8,154.1,3.7,3146971,48892,114830
"임대업; 부동산 제외","10~29인",163.1,158.0,5.1,3588432,163417,204746,168.7,163.6,5.1,3703295,168415,234741,167.0,161.8,5.2,3852478,172149,219093
"임대업; 부동산 제외","30~99인",169.2,162.5,6.7,3573866,229310,354043,171.5,165.6,5.9,3710571,241706,346780,171.1,165.4,5.7,3692053,276535,312561
"임대업; 부동산 제외","100~299인",161.5,160.6,0.9,3930519,24957,675030,165.0,163.6,1.4,4393208,41860,533169,162.2,160.3,1.9,4523623,58922,422019
"임대업; 부동산 제외","300인이상",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"교육 서비스업","5~9인",141.5,137.6,3.9,2235884,64092,80942,146.6,142.2,4.4,2240698,68631,85159,143.8,138.6,5.2,2307928,79831,80403
"교육 서비스업","10~29인",152.2,150.3,2.0,2775456,32881,244179,157.2,154.9,2.3,2819050,43234,213493,156.3,153.8,2.5,2827337,43932,249789
"교육 서비스업","30~99인",148.8,146.0,2.8,4128830,53468,574033,164.8,158.9,6.0,4180798,102391,332847,155.5,150.5,5.0,4116209,86690,595515
"교육 서비스업","100~299인",135.7,132.9,2.8,3429217,46600,270111,136.2,132.9,3.3,3361603,57959,285775,131.5,128.6,2.9,3409215,49985,289226
"교육 서비스업","300인이상",128.6,127.4,1.2,3692907,27873,528951,127.3,126.2,1.1,3624613,27370,529741,124.0,123.0,1.1,3639558,26064,504897
