기업명,내용,고용형태,경력,주소1,주소2,기간,직무키워드
㈜유한화학,                                2022년 유한화학 신입사원 채용,신입,학력무관,경기,경기 안산시 외,~12/30(목),"수처리시설관리, 바이오, 생명공학, 의약, 제약, 6시그마, 공정, 공정관리, 생산, 생산관리, 안전, 원가관리, 품질, 품질검사, 품질관리, 품질보증, QA, 기계, 기능직, 생산직, 운전, 제조, 기술연구소, 기술직, 연구관리, 제품개발, 화학, 환경, R&D, 약사, 의약사무"
아시아나IDT㈜,                                아시아나IDT 22년 상반기 대졸 신입사원 채용,신입,대졸↑,서울,서울 종로구,~01/03(월),"모바일앱개발, 네트워크관리, 네트워크엔지니어, 보안관제, 보안기술, 서버관리자, 서버구축, 시스템운영, 정보보안, CCNA, LAN, Linux, Unix, .NET, 응용프로그래머, C, Java, Linux, 시스템프로그래머, 임베디드, 펌웨어, 시스템분석, 시스템설계, 시스템엔지니어, 유지보수, 펌웨어, 소프트웨어"
㈜아프리카TV,                                2022년 신입사원 공개채용,신입,학력무관,경기 외,경기 성남시 외,~12/28(화),"인터넷방송, 기획, 기획조사, 서비스기획, 전략, 비품관리, 사무관리, 사무행정, 시설관리, 자산관리, 총무, OA, 공시, 주식IR, 광고기획, 마케팅, 마케팅기획, 소셜미디어, 키워드광고, AE, 광고영업, 매체광고영업, 온라인광고영업, 게임개발, 게임기획, 게임마케팅, 게임운영, 모바일게임, 온라인게임, 게임방송, 서버, Windows, 네트워크관리, 네트워크엔지니어, 보안관제, 서버관리자, 서버구축, 시스템운영, 정보보안, Linux, Windows, 모바일기획, 웹기획, 웹서비스기획, 컨텐츠기획, UI설계, 온라인마케팅, 웹광고기획, 웹마케팅, 웹프로그래머, HTML, Java, jsp, mHTML, MS-SQL, Python, 아이폰, 안드로이드, 응용프로그래머, 전산전공, API, Application, C, C++, Java, Linux, Python, Windows, 시스템프로그래머, 컨텐츠개발, 컨텐츠관리, 컨텐츠에디터, 자바스크립트, CSS, CSS3, HTML5, HTML코딩, UI·UX, 시스템분석, 시스템설계, 시스템엔지니어, 유지보수, 소프트웨어, 네트워크엔지니어, 방송기획, 광고기획, 산업위생관리기사"
㈜대우건설,                                2022 대우건설 상반기 신입사원 채용,신입,대졸↑,서울,서울 종로구,~01/03(월),"기획, 기획조사, 사업기획, 서비스기획, 인사, 인사기획, 인사통합, 세무, 재무, 재무기획, 재무회계, 안전, 환경관리, 기계, 설비, 건설, 건축, 기계, 플랜트, 전기·전자, 원자력, 환경, 전기, 전기·전자회로, 전기설비, 건축설계, 건축설비설계, 기계설계, 전기설계, 조경설계, 토목설계, 건축설계, 건축시공, 인테리어, 인테리어설계, 인테리어시공, 건축감리, 건축시공, 시공, 시공감리, 토목감리, 현장감리, 현장관리, 조경, 토목, 토목기사, 도시계획, 구조, 건설안전, 건축설비, 기계설비, 산업안전, 안전, 전기기사, 전기설비, 플랜트, 환경, 환경기사, 안전, 전기관리"
㈜머스트잇,                                [온라인 명품커머스] 각 분야별 인재 채용,신입·경력,대졸↑,서울 외,서울 강남구 외,~01/10(월),"채용·면접, 무역업, 오픈마켓, 전자상거래, B2C, 경영기획, 사업기획, 전략, 조직관리, 타당성분석, 법무, 복리후생관리, 사무관리, 사무행정, 인허가업무, 저작권관리, 인사, 인사기획, 인재개발, 경영지원, 회계, 회계감사, 세무, 재무, 광고기획, 마케팅, 마케팅기획, 브랜딩, 소셜미디어, 시장분석, 홍보, PR, SNS운영, 영어, MD, 무역, 무역사무, 오더관리, 통관, 상품기획, 상품입출고, 온라인MD, 패션MD, MD, AMD, 검증, 데이터베이스, SQL, 네트워크관리, 네트워크엔지니어, 서버관리자, 서버구축, 시스템운영, Linux, 모바일기획, 웹기획, 웹서비스기획, 통계·로그분석, PM, 웹프로그래머, Java, MySQL, php, Python, 아이폰, 안드로이드, 응용프로그래머, 전산전공, API, Application, 쇼핑몰, 웹사이트운영, 컨텐츠관리, 컨텐츠에디터, 웹퍼블리셔, 자바스크립트, CSS, 시스템분석, 요구분석, 데이터분석, 법률서비스, 법무대리, 소송·민사·등기, 지적재산권, 경영기획, M&A"
㈜웹젠,                                2022년 전 부문 수시채용,신입·경력,학력무관,경기,경기 성남시,~01/27(목),"채용·면접, 게임보안, 국내사업, 밸런스기획, 소싱, 시스템기획, 연말정산, 조직문화, 콘텐츠기획, AWS, TA, UI·UX디자인, 스토어관리, 모바일스토어관리, 게임개발, 게임기획, 게임디자인, 게임마케팅, 게임소프트웨어, 기획, 사업기획, 서비스기획, 신규사업·BD, 조직관리, 총무, 급여관리, 노무, 노사관리, 보상·승진, 인사, 인사기획, 4대보험, 급여관리, 부가세신고, 세무, 회계, 결산, 세무, 재무회계, 광고기획, 마케팅, 마케팅기획, 바이럴마케팅, 소셜미디어, 시장분석, 키워드광고, 프로모션, 프로모션, 홍보, 홍보기획, SNS운영, 영어, 일본어, 중국어, 해외마케팅, 구매관리, 자재구매기획, 매출관리, 영업관리, 영업기획, 영업지원, 게임개발, 게임기획, 게임마케팅, 게임시나리오, 게임운영, 모델링, 모바일게임, 캐릭터, 서버, MMORPG, DBA, MS-SQL, MySQL, 보안관리, 보안기술, 정보보안, Linux, Windows, PM, 웹프로그래머, APM, Java, jsp, SQL, Linux, Windows, UI·UX, UI·UX디자인, 시스템분석, 시스템엔지니어, 요구분석, DBA, PM, 데이터분석, 애니메이션, 영상디자인, 게임시나리오, 시장조사"
(주)홈초이스,                                경영지원(정규직) 담당자 채용,신입·경력,대졸↑,서울,서울 마포구,~01/07(금),"채용·면접, 케이블방송, 프로덕션, 광고기획, 광고제작, 온라인광고, SIGN, 배급유통사, 영화기획사, 기획, 사업기획, 서비스기획, 신규사업·BD, 전략, 인사, 인사기획, 인사통합, 인재개발, 문서관리, 문서작성, 정보처리기사, Excel, OA, PowerPoint"
중앙일보엠앤피㈜,                                현장운영조직관리 경력사원 채용,경력,대졸↑,서울,서울 마포구 외,~12/31(금),"채용·면접, 상품기획, KPI관리, 영업평가, 신문사, 언론사, 잡지사, 기획, 사업기획, 사업제휴, 서비스기획, 신규사업·BD, 관리, 비품관리, 사무관리, 사무행정, 인허가업무, 임금관리, 자산관리, 교육, 교육기획, 교육훈련, 급여관리, 노사관리, 보상·승진, 성과관리, 인사기획, 인사통합, 인재개발, 임금관리, HRD, MBO, 광고기획, 마케팅, 마케팅기획, 바이럴마케팅, 시장분석, 업무제휴, 판촉, 프로모션, 이벤트, 프로모션, 홍보, 홍보기획, 배차, 자재관리, 물류관리, 유통관리, 자재관리, 자재통합, 물류, 상품기획, 유통관리, 재고관리, 납품관리, 매출관리, 영업관리, 영업기획, 영업지원, 외주관리"
한미헬스케어㈜,                                2021년 12월 수시채용(인사/기획부문)                            ,경력5년↑,초대졸↑,서울 외,서울 송파구 외,~01/02(일),"채용·면접, 건강, 바이오, 보건, 의료기기, 의약, 경영기획, 기획, 사업기획, 서비스기획, 전략, 관리, 문서관리, 사무관리, 사무행정, 의약사무, 임금관리, 총무, 교육, 교육기획, 교육훈련, 노무, 보상·승진, 인사, 인사기획, 인사통합, 임금관리, HRD, HRM, 경영지원, 통계, 제약영업, 제약영업, 모바일기획, 웹기획, 웹서비스기획, 통계·로그분석, 데이터분석, 제약, 의약사무, 제약연구개발, 통계"
㈜유니온,                                2022년 상반기 대졸사원 채용,신입·경력,대졸↑,서울 외,서울 중구 외,~01/03(월),"채용·면접, 건설자재, 건축자재, 금속, 금속가공, 금속재료, 금형, 레미콘, 시멘트, 교수설계, 교육, 교육기획, 교육훈련, 급여관리, 노사관리, 목표관리, 보상·승진, 성과관리, 인사, 인사기획, 인사통합, 인재개발, 직무분석, 무역일반, 바이어개발, 바이어관리, 바이어상담, 수출입계약, 영어, 중국어, 해외영업, 구매관리, 상품입출고, 외자구매, 유통관리, 자재구매, 국내영업, 기술영업, 납품영업, 법인영업, 일반영업, 가맹점관리, 거래선개발관리, 거래처관리, 고객관리, 납품관리, 대리점관리, 매출관리, 영업관리, 영업기획, 영업지원, 외주관리, 공정, 공정관리, 생산, 생산관리, 안전, 원가관리, 자재관리, 품질, 품질검사, 품질관리, 품질보증, 환경관리, 금속, 기계, 설비, 시멘트, 제조, 기구설계, 기술연구소, 기술직, 생명공학, 생산기술, 실험, 에너지, 연구관리, 연구원, 원자력, 제품개발, 화학, 환경, R&D, 건설현장, 건축감리, 건축자재, 건축CM, 공무, 공사감리, 노무, 설계감리"
자이에스앤디㈜,                                2022년 자이에스앤디㈜ 신입사원 채용,신입·경력,대졸↑,서울,서울 중구,~01/11(화),"채용·면접, 건설, 목표관리, 성과관리, 인사, 인사통합, 인재개발, 직무분석, 관리회계, 더존, 원가회계, 전산회계, 전표입력, 출납, 회계, 회계감사, ERP운용, SAP, 결산, 세무, 자금, 재무, 재무기획, 재무회계, 응용프로그래머, 전산전공, C#Builder, Linux, MFC, Oracle, Windows, 시스템프로그래머, 어셈블리, 임베디드, 펌웨어, HMI, MMI, PLC, 건축시공, 도배·벽지, 인테리어, 인테리어설계, 인테리어시공, CAD, 건설현장, 건축시공, 건축CM, 공무, 시공, 부동산, 부동산개발, 영업·홍보, 검사, 기술지원, 수리, 정비, A·S"
유안타증권㈜,                                각 부문 신입 및 경력사원 채용,신입·경력,대졸↑,서울,서울 중구,~01/02(일),"채용·면접, FICC, 증권사, 경영기획, 기획, 서비스기획, 전략, 교육, 인사, 인사기획, 인사통합, 인재개발, 결산, 세무, 자금, 자금조달, 재무, 재무기획, 재무회계, 금융영업, 법인고객영업, 보험영업, 여신상담"
교원그룹,                                [교원그룹] 12월 신입/경력 정기 수시채용,신입·경력,학력무관,서울 외,서울 중구 외,~01/02(일),"채용·면접, 금융투자, 화상교육, DBMS, PLM, UI·UX디자인, 학습지, 기획, 기획조사, 사업기획, 서비스기획, 교육, 인사, 인사기획, 인사통합, 인재개발, 결산, 경영지원, 관리회계, 원가회계, 전산회계, 회계, 광고기획, 마케팅, 마케팅기획, 바이럴마케팅, 브랜딩, 프로모션, 물류, 물류관리, 상품기획, 상품입출고, 재고관리, MD, VMD, AMD, 아웃바운드TM, 데이터베이스, 데이터마이닝, Linux, 모바일기획, 웹기획, 웹서비스기획, 컨텐츠기획, UI설계, 웹프로그래머, Java, Python, Application, Java, Linux, Python, 자바스크립트, HTML코딩, UI·UX, 모바일UI, 웹UI, 자바스크립트, 포토샵, HTML, UI·UX디자인, Python, 인공지능(AI), 빅데이터, 데이터분석, 영사기사, 영상편집, 임대·임대컨설팅, 교육기획, 교육진행, 교재컨텐츠개발, 교육프로그램"
동양건설산업,                                2022년 동양건설산업ㆍ라인건설ㆍEG건설 신입 및 경력사원 채용,신입·경력,학력무관,서울 외,서울,~12/28(화),"채용·면접, 견적, 교량설계, 구조설계, 인사, 인사기획, 인사통합, 인재개발, HRM, 결산, 관리회계, 더존, 원가회계, 전산회계, 전표입력, 출납, 판매관리, 회계, 회계감사, ERP운용, SAP, 세무, 재무기획, 재무회계, 광고기획, 마케팅기획, 브랜딩, 시장분석, 프로모션, 언론홍보, 홍보, 홍보기획, 건설자재, 물류센터, .NET, 웹프로그래머, asp, Java, jsp, MS-SQL, MySQL, 응용프로그래머, 전산전공, C++, C++Builder, Java, Oracle, SQL, VisualBasic, VisualC, VisualC++, Windows, 건축시공, 실내건축, 실내디자인, 인테리어, 인테리어설계, 인테리어시공, CAD, 건축시공, 건축자재, 공사감리, 시공, 시공감리, 토목감리, 현장감리, 조경, 토목, 토목기사, 도시계획, 건설안전, 건축설비, 공조냉동, 기계설비, 산업안전, 소방설비, 안전, 전기공사, 전기기사, 전기배선, 전기설비, 품질관리, 통신설비, 소방·방재, 가스점검, 전기점검, 공인중개사, 부동산, 부동산개발, 부동산시행, 부동산컨설팅, 분양대행, 임대·임대컨설팅, 전문간호사, 산업간호사, 로스쿨, 법무대리, 법무사, 법학전공, 변호사"
㈜청담러닝,                                신입/경력사원 공개채용,신입·경력,학력무관,서울 외,서울 강남구 외,~01/02(일),"채용·면접, Electron, GIT, SPA, Unity, webgl, vue.js, Phaser, pixi, 어학원, 경영기획, 기획, 기획조사, 변화관리, 사업기획, 서비스기획, 전략, 타당성분석, 공무, 관리, 문서관리, 문서수발, 비품관리, 사무행정, 시설관리, 총무, 인사, 인사기획, 인사통합, 인재개발, HRD, 결산, 공시, 자금, 재무, 재무기획, 재무회계, 주식IR, 통계, 바이어관리, 바이어상담, 베트남어, 영어, 일본어, 중국어, 해외마케팅, 해외영업, 고객관리, 제품홍보, 홍보상담, 회원관리, 게임개발, 웹프로그래머, HTML, 아이폰, 안드로이드, 응용프로그래머, 플래시APP, Application, 자바스크립트, CSS, HTML5, 행정직, 전산실, 상담직, 영어, 영어강사, 교육상담, 수강생관리, 안내상담, 유학상담, 프로그램상담, 학원에이전트, 학원운영, 회원관리, 회원유치, 영어, 영어강사, 일반학원강사, TOEFL, TOEIC, 교육기획, 교육진행, 교재컨텐츠개발, 교육프로그램"
㈜블루포인트파트너스,                                2021년 블루포인트파트너스 각 부문별 인재채용,신입·경력3년↑,대졸↑,서울 외,서울 강남구 외,~01/01(토),"채용·면접, 산업디자인, 스타트업, 엑셀러레이터, ㈜블루포인트파트너스, 경영연구소, 조사분석, 컨설팅, 경영기획, 기획, 사업기획, 서비스기획, 신규사업·BD, 전략, 타당성분석, 공무, 사무관리, 사무행정, 총무, 인사, 인사기획, 인재개발, 직무분석, 시각디자인, 정보디자인, 법률서비스, 법무대리, 변호사, 시장조사, 조사분석, 통계"
기아㈜,                                각 부문별 신입/경력 채용,신입·경력,대졸↑,서울 외,서울 서초구 외,~02/20(일),"채용·면접, 브랜드매니저, NoSQL, 기계, 기계설계, 메카트로닉스, 자동차, 자동차부품, 자동차정비, 경영기획, 경영혁신, 사업기획, 사업제휴, 신규사업·BD, 전략, 조직관리, 보상·승진, 인사, 인사기획, 인사통합, 결산, 경영지원, 관리회계, 전산회계, 전표입력, 출납, 회계, 마케팅, 마케팅기획, 브랜딩, 시장분석, 업무제휴, CRM, BM, 브랜드, 물류, 자재관리, 물류관리, 상품입출고, 자재관리, 재고관리, 신상품개발, 웹프로그래머, HTML, Java, 응용프로그래머, Java, Linux, 웹접근성, 웹퍼블리셔, 웹표준, 자바스크립트, CSS, HTML5, HTML코딩, 빅데이터, 하둡(Hadoop), 공정, 공정관리, 자재관리, 품질, 품질관리, 기계, 기능직, 생산직, 설비, 조립, 금형설계, 기계, 기구설계, 메카트로닉스, 연구원, R&D, 기구설계, 기술연구소, 기술직, 메카트로닉스, 연구관리, 전기·전자, R&D, 공정엔지니어, 설계엔지니어, 전기·전자회로, 테스트엔지니어, 펌웨어, 품질엔지니어, PCB, 기계설계, 기구설계, 유지보수, 자동차정비"
깨끗한나라㈜,                                깨끗한나라 '21년 4분기 채용,신입·경력,대졸↑,서울 외,서울 용산구 외,~01/03(월),"위험물산업기사, 상품기획, 오픈마켓, 에너지, 화학, 환경, 생활용품, 소비재, 제지, 사업기획, 신규사업·BD, 전략, 타당성분석, 라이센싱, 마케팅, 마케팅기획, 바이럴마케팅, 브랜딩, 시장분석, 업무제휴, 판촉, 퍼블리싱, 프로모션, AE, CMO, CRM, 자재관리, 무역일반, 바이어관리, 수출입계약, 영어, 해외마케팅, 해외영업, 무역, 무역사무, 무역영어, 선적, 수출입무역, 오더관리, 외자구매, 통관, 유통관리, 재고관리, 국내영업, 납품영업, 법인영업, 일반영업, 해외영업, 거래선개발관리, 거래처관리, 고객관리, 납품관리, 대리점관리, 매출관리, 영업관리, 영업기획, 영업지원, 외주관리, 납품영업, 법인영업, 일반영업, 바이럴마케팅, 소셜마케팅, 온라인마케팅, 웹광고기획, 웹마케팅, 웹프로모션, 키워드광고, 공정관리, 생산, 생산관리, 안전, 자재관리, 품질, 품질검사, 품질관리, 품질보증, HACCP, QA, 소방설비, 품질관리, 소방·방재, 위험물관리, 방재관리, 산업안전, 소방, 안전"
㈜엠엘텍,                                (주) 엠엘텍 환경안전팀장 채용,경력10년↑,학력무관,대전 외,대전 유성구 외,~01/11(화),"전기, 환경, 환경기사, 대기환경, 수질환경, 환경, 안전, 환경관리, 화학, 환경, 산업안전, 안전, 대기환경, 수질환경, 환경, 환경기사, 산업안전, 산업안전기사, 안전, 환경관리, 일본어"
현대건설,                                현대건설 소형원전 분야 설계 전문인력 채용,경력7년↑,대졸↑,서울,서울 종로구,~01/10(월),"원전, 건설, 조경, 토목, 토목설계, 플랜트, 건설, 건축, 금속, 금형설계, 기계, 기구설계, 기술연구소, 기술직, 메카트로닉스, 생산기술, 연구관리, 연구원, 제어, 제품개발, 조선, 철강, 플랜트, catia, CTO, R&D, 기구설계, 기술연구소, 기술직, 생명공학, 생산기술, 실험, 에너지, 연구관리, 연구원, 원자력, 제품개발, 플라스틱·PVC, 환경, R&D, 가설설계, 건축설계, 건축시공, 도로설계, 리노베이션, 리모델링, 빌트인설계, 감리원, 건설현장, 건축감리, 건축시공, 건축자재, 건축CM, 견습·조공·보조, 공무, 공사감리, 노무, 보수·철거, 설계감리, 소방감리, 시공감리, 종합감리, 토목감리, 현장관리, 가설설계, 교량설계, 도로설계, 미장, 상하수도, 조경, 측량, 토목, 토목기사, 도시계획, 계측, 경량·골조, 구조, 건설안전, 기계설비, 배관, 산업안전, 소방설비, 안전, 전기기사, 대기환경, 소음진동, 수질환경, 폐기물처리, 플랜트, 환경, 환경기사, 환경영향평가, 토양환경, 소방"
㈜에스앤아이코퍼레이션,                                [LG그룹 S&I CM] 건축/기계/전기CM 정규직 경력 채용,경력5년↑,대졸↑,서울 외,서울 강서구 외,~01/07(금),"가설설계, 건설, 건설품질관리, 공무, 문서관리, 사무관리, 사무행정, 시설관리, 문서관리, 문서작성, 사무보조, 전산입력, OA, 건축, 기계, catia, R&D, 3DMax, 건축시공, 감리원, 건설현장, 건축시공, 건축CM, 공무, 공사감리, 노무, 설계감리, 시공, 시공감리, 현장관리, 토목, 도시계획, 구조, 건설안전, 건축설비, 기계설비, 산업안전, 시설관리, 안전, 전기공사, 전기기사, 전기배선, 전기설비, 플랜트, 환경"
썬앳푸드,"                                외식 전문기업 썬앳푸드 외식인재 채용 (FLOOR,COOK)                            ",신입·경력,학력무관,서울 외,서울 서초구 외,~01/10(월),"메뉴개발, 메뉴기획, 뷔페, 양식당, 음식료, 중식당, 한식당, 패밀리레스토랑, 가맹점관리(SV), 프랜차이즈, 가맹점관리, 고객관리, 매출관리, 영업관리, 영업지원, 계산원, 매장관리, 매장시설관리, 매출관리, 샵마스터, 식품판매, 진열관리, 캐셔, 판매관리, 프런트, 홀써빙, 고객상담, 고객응대, 고객지원, 단체급식, 매니저, 슈퍼바이저, 양식, 조리사, 주방보조, 주방장, 지배인, 캡틴, 푸드스타일리스트, 한식, Chef, 서빙, 카운터"
한국발전기술㈜,                                한국발전기술(주) 발전소 직원 채용,신입·경력3년↑,고졸↑,인천,인천 옹진군,~01/02(일),"산업기사, 산업안전, 설비, 시설, 전기, 전기배선, 전기설비, 플랜트, 환경, 환경기사, 산업안전, 플랜트, 기구설계, 자동제어, 전기, 전기공사, 전기기사, 전기기술, 전기설비, 전기제어, 전기회로, 전자, 전자회로, 제어, Firmware, PCB, PLC, 건설기계, 기계, 기계설계, 기계설비, 발전기, CAD, 대기환경, 수질환경, 에너지, 화공, 화학, 환경, 안전, 환경관리, 기계, 운전, 기계, 플랜트, 기술직, 전기·전자, 회로설계, 기술직, 화학, 환경, 설계엔지니어, 유지보수, 전기, 전기·전자회로, 전기설비, 테스트엔지니어, 펌웨어, 품질엔지니어, 하드웨어, 회로설계, AS, OrCAD, PCB, 기계설계, 기구설계, 전기설계, AutoCad, 건설안전, 기계설비, 산업안전, 시설관리, 전기공사, 전기기사, 전기배선, 전기설비, 전기점검, 수질환경, 폐기물처리, 플랜트, 환경, 환경기사, 환경영향평가"
㈜하이텔레서비스,                                IT기획 운영/전략기획&비서 신입사원 채용,경력무관,대졸↑,서울,서울 금천구 외,~01/04(화),"경영기획, 기획, 사업기획, 서비스기획, 전략, 타당성분석, 사무행정, 비서, 임원비서, 결산, 경영지원, 회계, 영업관리, 영업지원, 인공지능(AI), 빅데이터"
비를라카본코리아㈜,                                정규직 직원 채용,경력무관,대졸↑,전남,전남 여수시,~01/03(월),"경영기획, 기획, 사업기획, 서비스기획, 전략, 타당성분석, 공무, 관리, 문서관리, 문서수발, 사무관리, 사무행정, 문서관리, 문서작성, 사무보조, 워드, 전산회계, Excel, OA, 결산, 경리, 경영지원, 원가, 원가회계, 전산회계, 전표입력, 회계, 거래처관리, 고객관리, 매출관리, 영업관리, 영업기획, 영업지원, 6시그마, 공정, 공정관리, 생산, 생산관리, 원가관리, 품질, 품질검사, 품질관리, 기능직, 생산직, 기능직, 생산직, 공정엔지니어, 제조·공정"
㈜듀켐바이오,                                [듀켐바이오] 본사 영업관리직 신입직원 채용,신입,학력무관,서울 외,서울 마포구 외,~02/25(금),"㈜듀켐바이오, 바이오, 의약, 제약, 거래처관리, 고객관리, 납품관리, 영업관리, 영업지원, 바이오, 의료, 제약, 식품가공·개발, 의약품"
㈜지오시스템리서치,                                각 부문 신입/경력 공개채용,신입·경력,고졸↑,경기 외,경기 군포시 외,~01/09(일),"기상, 연안, 해양공학, 해양, 해양토목, 해양환경, 지층탐사, 항공, 항공기계, 항공운항, 항공정비, 대기환경, 수질환경, 화학, 환경, 기획조사, 네트워크관리, 네트워크엔지니어, 보안관리, 보안관제, 서버관리자, 서버구축, 시스템운영, 모바일기획, 웹기획, 웹서비스기획, 웹PD, 정보설계, 통계·로그분석, PM, UI설계, 웹프로그래머, Java, Python, 응용프로그래머, C, C#, C#Builder, C++, C++Builder, Java, Python, 시스템프로그래머, 웹사이트운영, 컨텐츠개발, 시스템분석, 시스템설계, 시스템엔지니어, PM, Python, 인공지능(AI), 빅데이터, 데이터분석, 유지보수, 하드웨어, 기술연구소, 기술직, 연구관리, 연구원, 화학, 환경, 설계엔지니어, 유지보수, 전기·전자회로, 테스트엔지니어, 품질엔지니어, 하드웨어, 조경설계, 조선설계, 토목설계, AutoCad, 대기환경, 수질환경, 환경, 환경기사, 환경영향평가, 토양환경, 기술지원, 유지보수, 기계관리, 방재관리, 산업안전, 시설관리, 신호관제, 안전, 전기관리, 항공관제, 환경관리, 설문조사, 시장조사, 조사분석, 생명공학, 정보통신·IT, 환경, 원자력·에너지, 건설·교통, 인문·사회과학, 연구·실험·기술, 조선·항공·우주, 화학·섬유"
메가존클라우드㈜,                                [메가존클라우드] Blockchain 부문 채용,신입·경력,대졸↑,서울,서울 강남구,~12/31(금),"소프트웨어개발, 솔루션, 매출관리, 영업관리, 영업기획, 영업지원, 네트워크관리, 네트워크엔지니어, 서버관리자, 서버구축, 시스템운영, 정보설계, 제안·컨설팅, 통계·로그분석, PM, UI설계, Python, Python, 시스템프로그래머, 시스템분석, 시스템설계, 시스템엔지니어, Python"
조원관광진흥㈜ 한국민속촌,                                2022 한국민속촌 대졸 사원 공개 채용,신입·경력,대졸↑,경기,경기 용인시 외,~01/05(수),"영상촬영, 인력관리, 양식당, 중식당, 한식당, 경영혁신, 기획, 기획조사, 서비스기획, 전략, 조직관리, 관리, 문서관리, 사무관리, 사무행정, 인허가업무, 총무, 교육기획, 인사, 인사기획, 인사통합, 4대보험, 경영지원, 급여관리, 회계, 광고기획, 마케팅, 마케팅기획, 홍보, 전시, 전시기획, 컨벤션, 상품기획, 식품MD, MD, 영업관리, 영업기획, 영업지원, 매장관리, 웹프로그래머, HTML, Java, mHTML, 게시판관리, 웹사이트운영, 컨텐츠개발, 컨텐츠관리, 포토샵, 영상편집, 공연·전시기획, 무대제작"
한화시스템㈜/방산,                                2022년 (상) 한화시스템 방산부문 신입사원 채용,신입·경력,학력무관,서울 외,서울 중구 외,~01/14(금),"항공, 레이더, 기구설계, 자동제어, 전기설계, 전기회로, 제어, .NET, 응용프로그래머, 증강현실, C, C++, Java, Linux, MFC, Python, SQL, Windows, 시스템프로그래머, 펌웨어, PLC, 시스템분석, 시스템설계, 시스템엔지니어, 펌웨어, 하드웨어, 소프트웨어, 기계, 기구설계, 메카트로닉스, 연구관리, catia, R&D, 기구설계, 디스플레이, 메카트로닉스, 회로설계, PCB, 설계엔지니어, 전기, 전기·전자회로, 전기설비, 테스트엔지니어, 펌웨어, 품질엔지니어, 하드웨어, Micom, OrCAD, PCB, 2D, 3D설계, 금형설계, 기계설계, 기구설계, 전기설계, AutoCad, CAD, catia, 네트워크엔지니어, 이동통신, 전자통신, 정보통신, 통신기술, RF"
바이오센서연구소㈜,                                [바이오센서연구소] 국내외 디지털 마케팅 / 구매 및 정산 직원 채용,신입·경력,학력무관,서울,서울 관악구,~01/03(월),"화장품, 경리, 전표입력, 판매관리, 광고기획, 국제회의, 라이센싱, 마케팅, 마케팅기획, 브랜딩, 소셜미디어, 시장분석, 업무제휴, 키워드광고, 퍼블리싱, 프로모션, AE, CMO, CRM, IMC, BM, 광고관리, 브랜드, 언론홍보, 이벤트, 프로모션, 홍보, 홍보기획, PR, SNS운영, 구매관리, 상품입출고, 자재관리, 바이럴마케팅, 소셜마케팅, 온라인마케팅, 웹광고기획, 웹마케팅, 웹프로모션, 키워드광고"
Naver I&S㈜,                                Naver I&S㈜ 및 자회사 각 부문 신입/경력 수시 채용,신입·경력,초대졸↑,경기 외,경기 성남시 외,~01/02(일),"문서관리, 문서작성, 사무보조, 워드, 정보처리, 정보처리기사, 홈페이지관리, Excel, OA, PowerPoint, 구매관리, 쇼핑몰, 고객상담, 고객응대, 고객지원, 인터넷쇼핑몰, 콜센터, CS, 수퍼바이저, CS교육, QA, 콜센터관리, 콜센터운영, 콜통계분석, 고객문의분석, 모바일기획, 웹기획, UI설계, 웹프로그래머, HTML, 아이폰, 안드로이드, 응용프로그래머, Windows, 게시판관리, 쇼핑몰, 웹사이트운영, 컨텐츠관리, Helpdesk, 웹접근성, 웹퍼블리셔, 웹표준, 자바스크립트, CSS, UI·UX, 모바일UI, 웹UI, CSS, HTML, Sketch, UI·UX디자인, 전기, 전기·전자회로, 전기설비, 건축모형, 건축설계, 전기설계, CAD, 건축설계, 실내건축, 실내디자인, 인테리어, 인테리어설계, 인테리어시공, CAD, 시설관리, 전기공사, 전기기사, 전기배선, 전기설비, 전기점검, 공인중개사, 부동산, 부동산시행, 부동산컨설팅, 분양대행, 상가·사무실, 방재관리, 빌딩관리, 산업안전기사, 전기공사, 전기관리, 환경관리"
㈜지에프아이,                                (주)지에프아이 사업확장에 따른 분야별 신입/경력 채용,신입·경력3년↑,대졸↑,서울 외,서울 구로구 외,~01/09(일),"고분자공학, 증빙관리, 화학공학, SNS콘텐츠 기획, 신소재 전공, 배터리 안전장치, 자금 전표입력, 화공, 화학, 관리, 사무행정, 총무, 문서작성, 전산입력, 마케팅, 마케팅기획, 브랜딩, 고객상담, 고객응대, 고객지원, CS, 바이럴마케팅, 온라인마케팅, 품질, 품질관리, 기술연구소, 연구관리, 연구원, 제품개발, 화학, R&D, 전기, 전기·전자회로, 기계설비, 산업안전, 전기기사, 소방·방재, 신소재개발, 연구·실험·기술, 제조·공정, 화학·섬유"
