기업명,내용,고용형태,경력,주소1,주소2,기간,직무키워드
쿠팡풀필먼트서비스(유),"                                [용인2,3센터] 쿠팡 물류센터 Team Captain(현장관리자) 채용",경력무관,학력무관,경기,경기 용인시 외,~03/23(수),"물류센터, 업무지원, 운영지원, 물류, 물류관리, 운송, 입출고관리, 출하, 조직관리, 관리, 사무관리, 물류, 배차, 자재관리, 자재통합, 창고관리, 구매관리, 물류센터, 상품입출고, 자재관리, 재고관리, 상품입출고, 공정, 공정관리, 생산, 생산관리, 자재관리"
위본모터스㈜,                                위본그룹 자동차사업부문 인사총무팀 과차장급 채용,경력9년↑,대졸↑,경기,경기 성남시,~02/21(월),"자동차, 관리, 사무관리, 사무행정, 자산관리, 총무, 노무, 노사관리, 성과관리, 인사, 인사기획, 문서관리, 문서작성, 사무보조, Excel"
㈜다날,                                다날 결제서비스(모바일/가상화폐) Back-end 개발 경력사원 채용,경력3년↑,초대졸↑,경기,경기 성남시,~01/23(일),"결제서비스, 백엔드 개발, GIT, Spring Framework, Linux, API, Java"
대협철강㈜,"                                사무직 사원 채용 (영업관리, 총무)                            ",경력무관,학력무관,경기,경기 화성시 외,~03/23(수),"경영관리, 대협철강㈜, 철강, 문서관리, 사무보조, 전산입력"
㈜이퍼블릭코리아,                                ELT 홍보 및 마케팅 경력직 채용,경력무관,대졸↑,서울,서울 양천구,~01/22(토),"마케팅, 홍보, 홍보기획, 영상편집, 포토샵"
㈜링네트,                                [서초/강남] 네트워크 운영엔지니어 상주직 채용,경력2년↑,학력무관,서울,서울 서초구,~01/22(토),"네트워크 설계, 네트워크 구축, Field Engineer, 네트웍구축, 네트워크엔지니어, 방화벽, 보안관리, 보안기술, Cisco"
㈜프레시원강남,                                (용인)식자재 배송 직원 채용 (주간)                            ,경력무관,학력무관,경기,경기 용인시,~03/23(수),"물류관리, 물류센터, 물류, 배차, 납품, 물류, 배송, 물류센터, 상품입출고, 유통관리"
㈜네오위즈,                                [네오위즈] ProjectSS 게임 개발자 통합 채용,경력무관,학력무관,경기,경기 성남시,상시채용,"게임기획, 게임디자인, 게임마케팅, 게임기획, 게임디자인"
㈜네오위즈,                                [네오위즈] 신규 모바일 퍼즐RPG 개발자 통합 채용,경력무관,학력무관,경기,경기 성남시,상시채용,"게임개발, 게임기획, 게임디자인, 게임마케팅"
한국모바일인증㈜,"                                서비스 기획, 마케팅, 영업관리 채용 (신입/경력)                            ",신입·경력3년↑,대졸↑,서울,서울 구로구,상시채용,"마케팅, 마케팅기획, 시장분석, 업무제휴, 거래처관리, 매출관리, 영업관리, 영업기획, 영업지원, 법인영업"
